date_time,minute,open,high,low,close,volume
2004.03.21,22:00,1048.00,1062.50,1009.50,1015.00,7301
2004.03.28,22:00,1016.50,1046.50,980.50,1046.00,10251
2004.04.04,22:00,1053.00,1064.50,985.50,988.00,9301
2004.04.11,22:00,978.00,1016.50,952.50,968.00,11801
2004.04.18,22:00,961.00,977.50,925.50,967.00,9801
2004.04.25,22:00,963.00,1043.50,955.50,1033.00,10601
2004.05.02,22:00,1020.00,1035.50,987.50,1031.00,8501
2004.05.09,22:00,1015.50,1037.00,932.00,932.50,12701
2004.05.16,22:00,899.00,913.50,855.50,872.00,8901
2004.05.23,22:00,873.00,896.50,811.50,814.00,11101
2004.05.30,22:00,863.00,867.50,800.50,840.00,11101
2004.06.06,22:00,818.00,866.50,815.50,848.00,7201
2004.06.13,22:00,865.00,896.50,847.50,871.00,9201
2004.06.20,22:00,870.00,940.50,869.50,921.00,9101
2004.06.27,22:00,921.00,947.50,863.50,939.00,15001
2004.07.04,22:00,944.50,1035.50,943.50,961.00,16751
2004.07.11,22:00,645.00,669.50,628.50,668.00,5901
2004.07.18,22:00,640.00,659.25,592.00,612.00,10651
2004.07.25,22:00,592.00,607.50,567.50,570.00,5801
2004.08.01,22:00,567.00,576.50,555.50,563.00,3801
2004.08.08,22:00,563.00,590.00,551.50,580.50,5951
2004.08.15,22:00,573.00,595.00,556.50,583.00,6701
2004.08.22,22:00,582.00,626.50,580.50,595.50,7851
2004.08.29,22:00,608.00,652.50,606.50,612.00,8801
2004.09.05,22:00,586.00,594.50,556.50,571.00,6101
2004.09.12,22:00,566.00,575.50,551.75,552.50,3401
2004.09.19,22:00,546.00,548.50,522.50,524.00,3001
2004.09.26,22:00,524.50,540.00,523.50,535.00,2251
2004.10.03,22:00,525.00,534.00,518.50,529.00,2701
2004.10.10,22:00,530.50,541.00,505.50,514.00,5451
2004.10.17,22:00,509.50,538.00,508.00,530.00,3951
2004.10.24,22:00,534.00,545.50,523.25,528.00,3851
2004.10.31,22:00,525.00,538.50,503.75,504.50,4901
2004.11.07,22:00,504.00,541.50,502.50,525.00,5701
2004.11.14,22:00,534.00,557.50,530.75,551.00,3651
2004.11.21,22:00,554.00,562.50,546.00,548.50,2751
2004.11.28,22:00,544.00,544.50,519.50,526.00,3201
2004.12.05,22:00,526.00,539.50,517.00,532.50,3851
2004.12.12,22:00,543.75,552.50,537.50,548.50,2526
2004.12.19,22:00,558.00,566.50,541.00,548.25,4126
2004.12.26,22:00,551.50,555.50,536.00,546.00,3351
2005.01.02,22:00,540.50,544.50,524.00,543.00,3851
2005.01.09,22:00,538.50,551.50,518.50,519.50,4701
2005.01.16,22:00,515.00,526.00,512.00,516.75,2626
2005.01.23,22:00,522.00,530.00,512.00,513.50,2751
2005.01.30,22:00,510.00,519.00,498.00,499.75,3176
2005.02.06,22:00,500.75,529.00,499.50,526.00,3376
2005.02.13,22:00,535.00,561.50,525.50,552.00,5501
2005.02.20,22:00,567.00,606.50,562.75,605.00,4951
2005.02.27,22:00,620.00,635.50,610.50,629.00,4101
2005.03.06,22:00,629.50,666.50,608.50,663.00,8251
2005.03.13,22:00,659.00,692.00,645.50,648.00,8201
2005.03.20,22:00,644.00,647.50,613.50,629.00,5301
2005.03.27,22:00,630.00,661.50,609.50,614.00,8801
2005.04.03,22:00,612.00,630.50,607.50,612.00,4601
2005.04.09,22:00,604.00,616.50,599.00,602.50,3351
2005.04.16,22:00,598.50,637.50,597.75,629.00,4901
2005.04.23,22:00,638.00,642.50,617.50,621.50,3351
2005.04.30,22:00,614.00,625.50,611.50,624.00,1801
2005.05.07,22:00,629.00,631.50,603.50,609.00,3601
2005.05.14,22:00,609.50,637.50,608.00,629.50,3901
2005.05.21,22:00,643.00,678.00,634.25,668.00,6251
2005.05.28,22:00,684.50,692.00,667.50,680.00,4451
2005.06.04,22:00,701.00,701.50,668.50,678.00,4301
2005.06.11,22:00,687.00,746.50,686.50,742.00,6501
2005.06.18,22:00,763.00,770.50,744.50,765.50,4951
2005.06.25,22:00,754.00,755.50,660.00,685.00,12201
2005.07.02,22:00,706.00,736.50,676.50,688.00,10201
2005.07.09,22:00,690.00,751.50,678.50,733.00,10301
2005.07.16,22:00,725.00,736.00,665.50,679.00,9501
2005.07.23,22:00,673.00,711.50,669.50,686.00,7101
2005.07.30,22:00,686.50,709.50,648.50,669.00,10451
2005.08.06,22:00,678.00,680.50,641.50,647.00,4701
2005.08.13,22:00,636.50,639.50,603.75,607.00,4201
2005.08.20,22:00,612.50,625.50,595.00,602.00,5051
2005.08.27,22:00,604.50,621.75,594.50,598.00,4801
2005.09.03,22:00,602.50,617.50,588.50,590.50,4601
2005.09.10,22:00,578.50,586.50,567.50,570.50,3001
2005.09.17,22:00,572.50,585.50,568.75,573.50,3251
2005.09.24,22:00,571.50,574.50,556.00,572.50,3601
2005.10.01,22:00,572.00,585.50,557.50,564.00,4801
2005.10.08,22:00,560.00,595.00,554.00,589.00,5301
2005.10.15,22:00,588.50,599.00,570.50,572.00,4051
2005.10.22,22:00,566.50,581.50,562.75,564.50,3551
2005.10.29,22:00,562.50,592.50,562.00,580.00,4351
2005.11.05,22:00,576.50,593.50,568.00,592.50,3501
2005.11.12,22:00,593.50,597.00,587.50,589.75,1526
2005.11.19,22:00,574.50,575.50,551.75,553.50,2651
2005.11.26,22:00,546.00,564.00,545.00,563.00,2101
2005.12.03,22:00,565.50,575.00,553.00,569.00,4051
2005.12.10,22:00,584.50,601.50,581.50,592.00,3251
2005.12.17,22:00,601.50,616.25,593.50,612.50,3451
2005.12.24,22:00,609.50,619.50,592.50,601.50,4601
2005.12.31,22:00,625.25,632.50,609.50,609.50,3026
2006.01.07,22:00,597.50,598.50,568.50,576.00,3851
2006.01.14,22:00,571.00,576.50,563.00,567.50,2351
2006.01.21,22:00,574.00,590.00,565.00,587.50,3651
2006.01.28,22:00,600.00,603.00,577.00,594.00,4601
2006.02.04,22:00,596.50,597.00,571.50,582.00,3651
2006.02.11,22:00,579.50,602.50,570.50,600.00,4351
2006.02.18,22:00,600.75,600.75,570.00,576.50,3726
2006.02.25,22:00,583.50,607.00,580.50,606.00,3051
2006.03.04,22:00,595.50,605.50,578.50,589.00,4751
2006.03.11,22:00,583.50,592.25,574.50,576.00,2801
2006.03.18,22:00,578.00,581.50,570.75,573.00,1651
2006.03.25,22:00,579.50,588.50,570.25,571.00,2801
2006.04.01,22:00,568.50,574.00,556.00,557.00,2451
2006.04.08,22:00,559.50,565.00,553.75,562.75,1926
2006.04.15,22:00,568.50,577.00,565.75,569.50,2151
2006.04.22,22:00,575.00,613.50,568.50,600.50,6451
2006.04.29,22:00,602.50,614.00,600.00,606.00,2451
2006.05.06,22:00,597.50,619.50,596.00,612.50,3201
2006.05.13,22:00,603.50,610.00,585.00,586.50,3301
2006.05.20,22:00,583.50,588.50,579.50,582.50,1701
2006.05.27,22:00,585.00,609.50,575.00,608.50,4551
2006.06.03,22:00,608.00,610.50,583.00,585.50,3251
2006.06.10,22:00,595.50,604.50,588.50,600.00,2751
2006.06.17,22:00,590.50,591.00,579.50,580.00,1251
2006.06.24,22:00,571.50,600.00,566.00,594.50,4501
2006.07.01,22:00,599.50,638.00,595.00,627.00,5851
2006.07.08,22:00,632.00,639.00,619.00,624.50,3251
2006.07.15,22:00,619.50,622.00,595.00,597.50,3201
2006.07.22,22:00,602.00,614.00,591.50,597.50,4051
2006.07.29,22:00,602.50,607.50,592.50,596.00,2351
2006.08.05,22:00,584.50,586.00,564.75,568.00,2601
2006.08.12,22:00,564.00,572.50,559.00,559.50,2251
2006.08.19,22:00,560.50,569.00,555.25,556.25,2326
2006.08.26,22:00,555.50,556.50,548.75,551.00,1101
2006.09.02,22:00,550.50,562.50,542.75,547.75,3676
2006.09.09,22:00,543.50,554.50,537.00,549.25,2926
2006.09.16,22:00,554.00,560.75,542.50,549.00,3151
2006.09.23,22:00,546.50,554.00,539.00,547.50,2901
2006.09.30,22:00,552.50,570.50,540.00,563.50,5001
2006.10.07,22:00,566.50,594.00,559.75,591.00,4401
2006.10.14,22:00,588.25,612.50,586.00,608.00,3326
2006.10.21,21:00,641.60,653.10,641.60,648.60,1601
2006.10.21,22:00,604.50,624.50,603.00,622.50,2501
2006.10.28,21:00,648.35,682.00,641.00,662.25,6811
2006.11.04,21:00,659.75,682.75,655.50,662.25,5201
2006.11.11,21:00,660.50,677.25,650.50,659.50,5251
2006.11.18,21:00,662.50,686.75,661.75,683.75,2876
2006.11.25,21:00,683.50,695.25,675.00,675.75,3276
2006.12.02,21:00,672.75,674.50,652.00,656.25,2851
2006.12.09,21:00,655.50,669.50,652.00,657.00,3351
2006.12.16,21:00,657.50,659.25,642.25,659.00,3251
2006.12.23,21:00,664.50,684.00,664.50,682.50,2101
2006.12.30,21:00,679.75,684.00,660.50,680.75,4601
2007.01.06,21:00,682.75,723.00,657.00,719.50,9526
2007.01.13,21:00,715.50,731.50,705.00,718.00,5051
2007.01.20,21:00,712.75,728.25,706.75,710.00,4026
2007.01.27,21:00,712.50,737.25,704.00,737.00,4201
2007.02.03,21:00,736.75,756.25,733.50,748.75,3351
2007.02.10,21:00,747.75,768.00,740.50,766.25,3651
2007.02.17,21:00,766.50,790.50,762.00,777.25,4626
2007.02.24,21:00,778.00,789.25,735.25,740.75,7076
2007.03.03,21:00,734.50,765.00,724.50,759.25,5626
2007.03.10,21:00,758.00,770.25,744.25,752.50,4651
2007.03.17,21:00,755.75,774.25,749.00,769.25,3701
2007.03.24,21:00,767.00,778.50,741.50,762.25,6926
2007.03.31,21:00,756.25,786.00,754.00,760.50,5976
2007.04.07,21:00,765.00,774.50,731.50,737.00,5801
2007.04.14,21:00,732.75,741.75,714.00,723.00,4576
2007.04.21,21:00,722.75,732.50,708.00,722.50,4876
2007.04.28,21:00,722.25,743.25,717.00,731.50,4326
2007.05.05,21:00,734.00,768.25,724.50,761.25,6026
2007.05.12,21:00,760.50,796.25,759.25,792.25,4226
2007.05.19,21:00,789.50,813.75,787.00,812.00,3101
2007.05.26,21:00,808.50,819.00,791.25,817.25,4676
2007.06.02,21:00,814.75,835.25,806.25,821.00,5176
2007.06.09,21:00,837.50,848.25,814.50,846.50,5851
2007.06.16,21:00,856.75,862.50,791.25,796.00,8176
2007.06.23,21:00,799.50,878.00,793.25,850.50,11851
2007.06.30,21:00,853.75,871.50,848.75,868.50,3076
2007.07.07,21:00,870.00,922.50,860.50,922.50,7151
2007.07.14,21:00,907.50,907.50,828.00,848.25,9976
2007.07.21,21:00,842.00,842.00,808.75,823.75,4826
2007.07.28,21:00,826.00,850.50,823.50,844.75,3526
2007.08.04,21:00,837.00,866.50,824.00,856.00,6601
2007.08.11,21:00,863.25,872.00,788.00,813.75,11851
2007.08.18,21:00,804.75,851.75,803.00,849.75,5251
2007.08.25,21:00,840.00,880.25,837.00,867.00,5951
2007.09.01,21:00,870.25,916.50,869.75,905.75,5801
2007.09.08,21:00,904.00,959.50,903.75,954.75,6076
2007.09.15,21:00,962.50,996.50,952.75,978.50,7151
2007.09.22,21:00,977.50,1017.25,970.00,991.25,8076
2007.09.29,21:00,991.00,997.50,931.00,939.00,8101
2007.10.06,21:00,936.75,992.75,922.00,977.25,10101
2007.10.13,21:00,975.75,996.50,967.25,983.00,5126
2007.10.20,21:00,978.00,1006.75,961.00,994.25,7526
2007.10.27,21:00,997.00,1019.00,967.00,1000.50,10051
2007.11.03,21:00,1013.25,1057.00,1008.00,1056.25,5501
2007.11.10,21:00,1053.00,1087.50,1034.50,1078.00,8101
2007.11.17,21:00,1078.00,1103.00,1053.00,1100.25,7776
2007.11.24,21:00,1100.50,1113.50,1075.50,1081.50,5701
2007.12.01,21:00,1083.00,1121.75,1068.50,1121.00,6851
2007.12.08,21:00,1117.25,1164.00,1114.75,1157.25,5851
2007.12.15,21:00,1156.75,1177.50,1146.25,1177.00,4226
2007.12.22,21:00,1173.00,1229.75,1170.00,1204.25,8826
2007.12.29,21:00,1190.00,1277.75,1180.25,1261.75,12326
2008.01.05,21:00,1259.75,1310.25,1246.50,1298.75,8851
2008.01.12,21:00,1303.50,1341.50,1244.00,1263.00,15451
2008.01.19,21:00,1221.25,1255.25,1186.50,1242.75,11601
2008.01.26,21:00,1256.50,1298.00,1228.00,1287.00,10951
2008.02.02,21:00,1296.75,1374.50,1294.00,1339.75,11801
2008.02.09,21:00,1324.00,1386.25,1306.50,1374.75,10876
2008.02.16,21:00,1385.25,1422.25,1383.25,1420.50,4276
2008.02.23,21:00,1438.75,1539.00,1425.00,1535.25,13151
2008.03.01,21:00,1553.25,1585.00,1408.00,1408.50,20926
2008.03.08,21:00,1358.75,1439.00,1352.00,1352.25,16751
2008.03.15,21:00,1370.00,1370.00,1205.00,1206.75,16676
